HS부호,한글품목명,영문품목명,성질통합분류코드,성질통합분류코드명
2924192000,디메틸아세트아미드,Dimethylacetamide,25030201,유기화합물
0029241990,기타,Other,,
2924199010,농약원제(農藥原劑)(?농약관리법?에 따라 등록된 것으로 한정한다),Material for manufacturing agricultural chemicals (registered material under the Agricultural Chemicals Management Act),25020501,농약
2924199090,기타,Other,25030201,유기화합물
2924211000,농약원제(農藥原劑)(「농약관리법」에 따라 등록된 것으로 한정한다),Material for manufacturing agricultural chemicals (registered material under the Agricultural Chemicals Management Act),25020501,농약
2924219000,기타,Other,25030201,유기화합물
2924230000,2-아세트아미도벤조산(엔-아세틸 안트라닐산)과 그 염,2-Acetamidobenzoic acid (N-acetylanthranilic acid) and its salts,25030201,유기화합물
2924240000,에치나메이트(INN),Ethinamate (INN),25030201,유기화합물
2924251000,농약원제(農藥原劑)(?농약관리법?에 따라 등록된 것으로 한정한다),Material for manufacturing agricultural chemicals (registered material under the Agricultural Chemicals Management Act),25020501,농약
2924259000,기타,Other,25030201,유기화합물
0029242910,아세트아닐리드와 그 유도체,Acetanilide and its derivatives,,
2924291010,아미노아세트아닐리드와 그 유도체,Aminoacetanilide and its derivatives,25030201,유기화합물
2924291020,아세트아미노펜,Acetaminophen,25030201,유기화합물
2924291090,기타,Other,25030201,유기화합물
2924292000,아세토아세트아닐리드와 그 유도체,Aceto acetanilide and its derivatives,25030201,유기화합물
0029242990,기타,Other,,
2924299010,염산리도카인,Lidocaine hydrochloride,25030201,유기화합물
2924299020,"이오프로마이드, 이오파미돌, 이오메프롤, 이오헥솔, 이오버솔, 이오딕산올","Iopromide, Iopamidol, Iomeprol, Iohexol, Ioversol and Iodixanol",25030201,유기화합물
0292429909,기타,Other,,
2924299092,농약원제(農藥原劑)(?농약관리법?에 따라 등록된 것으로 한정한다),Material for manufacturing agricultural chemicals (registered material under the Agricultural Chemicals Management Act),25020501,농약
2924299099,기타,Other,25030201,유기화합물
2925111000,사카린,Saccharin,25030201,유기화합물
